,CAS,logBCF,Dataset,SMILES
0,2691-41-0,-0.3,uci,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1
1,541-73-1,2.44,uci,Clc1cc(ccc1)Cl
2,55219-65-3,1.32,uci,OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C
3,55179-31-2/70585-36-3,2.31,uci,OC(C(Oc1ccc(cc1)c2ccccc2)n3ncnc3)C(C)(C)C
4,5510-99-6,2.47,uci,Oc1c(cccc1C(CC)C)C(CC)C
5,544-76-3,2.68,uci,CCCCCCCCCCCCCCCC
6,544-01-4,2.3,uci,CC(CCOCCC(C)C)C
7,5428-54-6,0.86,uci,O=[N+](c1cc(c(cc1)C)O)[O-]
8,542-18-7,2.35,uci,ClC1CCCCC1
9,54135-82-9,3.09,uci,O(c1cc(c(c(c1)Cl)Cl)Cl)C
10,56558-16-8,4.81,uci,Clc1cc(cc(c1c1c(cccc1Cl)Cl)Cl)Cl
11,54135-81-8,3.07,uci,OCc1cc(cc(c1Cl)Cl)Cl
12,54135-80-7,2.96,uci,O(c1ccc(c(c1Cl)Cl)Cl)C
13,5409-83-6,3.66,uci,Clc1cc2c(oc3c2cc(cc3)Cl)cc1
14,538-75-0,0.09,uci,N(=C=NC1CCCCC1)C1CCCCC1
15,53-70-3,2.8,uci,c1c2c(cc3ccc4c(c13)cccc4)c1ccccc1cc2
16,535-77-3,2.75,uci,CC(c1cc(ccc1)C)C
17,534-52-1,0.25,uci,O=[N+]([O-])c1cc(c(O)c(c1)C)[N+](=O)[O-]
18,55285-14-8,3.0,uci,O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCCC)CCCC
19,55290-64-7,0.63,uci,O=S1(=O)(C(=C(C)S(=O)(=O)CC1)C)
20,55335-06-3,-0.1,uci,O=C(O)COc1nc(c(cc1Cl)Cl)Cl
21,55-38-9,2.39,uci,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S
22,56425-91-3,1.54,uci,FC(F)(F)Oc1ccc(cc1)C(O)(c2cncnc2)C(C)C
23,56-38-2,2.05,uci,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1
24,56-35-9,3.99,uci,CCCC[Sn](O[Sn](CCCC)(CCCC)CCCC)(CCCC)CCCC
25,56348-72-2,4.43,uci,Clc1cc(ccc1Cl)Oc1ccc(c(c1)Cl)Cl
26,56-23-5,0.95,uci,ClC(Cl)(Cl)Cl
27,56113-42-9,0.49,uci,O=C(c1c(c(c(c(c1Cl)Cl)Cl)Cl)C(=O)O)N
28,5598-13-0,3.26,uci,n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl
29,5586-15-2,0.38,uci,c1ccc2cc(ccc2(c1))SSc3ccc4ccccc4(c3)
30,55720-37-1,4.43,uci,c1cc(cc2c1cc(cc2Cl)Cl)Cl
31,556-67-2,4.08,uci,O1[Si](O[Si](O[Si](O[Si]1(C)C)(C)C)(C)C)(C)C
32,5566-34-7,4.3,uci,C2(=C(C3(C1CC(CC1C2(C3(Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl
33,55512-33-9,2.06,uci,O=C(Oc1cc(nnc1c2ccccc2)Cl)SCCCCCCCC
34,555-03-3,0.75,uci,O=[N+](c1cc(ccc1)OC)[O-]
35,554-84-7,1.4,uci,O=[N+]([O-])c1cccc(O)c1
36,554-00-7,1.38,uci,Clc1c(ccc(c1)Cl)N
37,52918-63-5,2.83,uci,N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3
38,52888-80-9,2.84,uci,O=C(N(CCC)CCC)SCc1ccccc1
39,527-60-6,0.91,uci,Oc1c(cc(cc1C)C)C
40,510-15-6,2.71,uci,OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(=O)OCC
41,50876-32-9,3.65,uci,CC1(CC(CC(C1)C)C)C
42,50853-70-8,0.74,uci,CC1=CC2CC1C(C2C(=O)O)C(=O)O
43,50512-35-1,1.57,uci,O=C(OC(C)C)C(C(=O)OC(C)C)=C1SCCS1
44,504-29-0,1.04,uci,Nc1ncccc1
45,504-24-5,0.44,uci,Nc1ccncc1
46,504-03-0,0.45,uci,N1C(C)CCCC1C
47,50375-10-5,2.53,uci,O(c1c(ccc(c1Cl)Cl)Cl)C
48,50-32-8,2.73,uci,c1cc2c3c4c(cc5c(c14)cccc5)ccc3ccc2
49,50-31-7,0.31,uci,Clc1c(ccc(c1C(=O)O)Cl)Cl
50,50-30-6,0.02,uci,O=C(O)c1c(cccc1Cl)Cl
51,50-29-3,3.95,uci,ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl
52,500-28-7,1.55,uci,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1Cl
53,496-10-6,2.91,uci,C1C2C(CC1)CCCC2
54,493-01-6/493-02-7,3.37,uci,C1CCC2CCCCC2(C1)
55,4904-61-4,3.91,uci,C1CC=CCCC=CCCC=C1
56,50925-42-3,0.5,uci,O=S(=O)(O)c7cccc6c7(cc(N=Nc1ccc(cc1C)Nc2nc(nc(n2)NCCO)Nc5ccc(N=Nc4cc3c(cccc3S(=O)(=O)O)c(c4)S(=O)(=O)O)c(c5)C)cc6S(=O)(=O)O)
57,51207-31-9,3.69,uci,Clc1cc2c(oc3c2cc(c(c3)Cl)Cl)cc1Cl
58,527-20-8,2.71,uci,Nc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl
59,51235-04-2,0.84,uci,O=C1N=C(N(C(=O)N1C2CCCCC2)C)N(C)C
60,52712-05-7,5.93,uci,Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl
61,52712-04-6,5.81,uci,Clc1ccc(c(c1)c1cc(Cl)c(c(c1Cl)Cl)Cl)Cl
62,52-68-6,-0.39,uci,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
63,526-78-3,0.62,uci,O=C(C(C(C(=O)O)Br)Br)O
64,526-73-8,2.31,uci,c1cc(c(c(c1)C)C)C
65,52663-63-5,5.54,uci,c1cc(c(cc1Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl)Cl
66,52322-80-2,3.64,uci,O(c1ccccc1)c2cc(c(cc2Cl)Cl)Cl
67,52315-07-8,2.5,uci,N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3
68,51892-26-3,3.97,uci,O(c1ccccc1)c2ccc(cc2Cl)Cl
69,51630-58-1,3.01,uci,N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3
70,51-44-5,0.1,uci,O=C(O)c1ccc(c(c1)Cl)Cl
71,514-10-3,1.97,uci,O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))
72,51-28-5,0.31,uci,Oc1c(cc(cc1)[N+](=O)[O-])[N+](=O)[O-]
73,512-56-1,-0.06,uci,O=P(OC)(OC)OC
74,5124-25-4,1.58,uci,O=[N+](c1c(ccc(c1)S(=O)(=O)Nc1ccccc1)Nc1ccccc1)[O-]
75,56-55-3,2.48,uci,c1c2c(cc3ccc4c(c13)cccc4)cccc2
76,56558-17-9,4.81,uci,Clc1c(cc(cc1)c1c(cc(cc1Cl)Cl)Cl)Cl
