,Chemical,CAS,logBCF,SMILES,Dataset
0,PFBA,45048-62-2,1.18,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)[O-],burk
1,8:2 Cl-PFESA,83329-89-9,0.4,C(C(C(C(C(F)(F)Cl)(F)F)(F)F)(F)F)(C(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F)(F)F.[K+],burk
2,F-53B (6:2 Cl-PFESA),73606-19-6,2.85,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F.[K+],burk
3,6:2 FTSA,27619-97-2,1.54,O[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
4,8:2 FTOH,678-39-7,2.5,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
5,C8/C8 PFPiA,40143-79-1,8.3,C(C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,burk
6,C6/C6 PFPiA,40143-77-9,5.12,C(C(C(C(F)(F)P(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,burk
7,PFOPA,40143-78-0,1.92,C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,burk
8,PFHxPA,40143-76-8,1.46,C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,burk
9,SAmPAP,2965-52-8,1.42,CCN(CCO[P](O)(=O)OCCN(CC)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
10,PFOS,1763-23-1,3.01,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
11,PFHxS,355-46-4,2.07,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
12,PFBS,375-73-5,1.06,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,burk
13,PFDPA,52299-26-0,2.21,C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,burk
